fips_code,state,county,division,jurisdiction_type,equip_type,make,model,pp_std,pp_std_pc,pp_std_cc,pp_acc,pp_acc_pc,pp_acc_cc,ev_std,ev_acc,abs_ballots,prov_ballots,all_vbm,vbm_acc,other,source,date_obtained,coder
0200000000,AK,,,State,Hand Counted Paper Ballots,Not Applicable,N/A,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,http://www.elections.alaska.gov/doc/info/2014-Alaska-Ballot-Count-by-Precinct.pdf,"July 1, 2014",Warren Stewart
0200000000,AK,,,State,Optical Scan,Premier/Diebold (Dominion),AccuVote OS,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,http://www.elections.alaska.gov/doc/info/2014-Alaska-Ballot-Count-by-Precinct.pdf,"July 1, 2014",Warren Stewart
0200000000,AK,,,State,DRE-Touchscreen,Premier/Diebold (Dominion),AccuVote TSX,,,,TRUE,TRUE,,,TRUE,,,,,,http://www.elections.alaska.gov/doc/info/2014-Alaska-Ballot-Count-by-Precinct.pdf,"July 1, 2014",Warren Stewart
0100100000,AL,Autauga,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0100100000,AL,Autauga,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0100300000,AL,Baldwin,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0100300000,AL,Baldwin,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0100500000,AL,Barbour,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0100500000,AL,Barbour,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0100700000,AL,Bibb,,County,Optical Scan,Election Systems & Software,Model 100,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0100700000,AL,Bibb,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0100900000,AL,Blount,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0100900000,AL,Blount,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0101100000,AL,Bullock,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0101100000,AL,Bullock,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0101300000,AL,Butler,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0101300000,AL,Butler,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0101500000,AL,Calhoun,,County,Optical Scan,Election Systems & Software,DS200,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0101500000,AL,Calhoun,,County,Ballot Marking Device or System,Election Systems & Software,AutoMARK,,,,TRUE,TRUE,,,,,,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
0101700000,AL,Chambers,,County,Optical Scan,Election Systems & Software,Model 100,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,"June 30, 2015",Warren Stewart
