FIPSCode,QA3a,QA3b,Registration,,,
0100100000,33203,603,33806,,,
0100300000,110024,13453,123477,,,
0100500000,15344,883,16227,,,
0100700000,11769,303,12072,,,
0100900000,33534,357,33891,,,
0101100000,7041,195,7236,,,
0101300000,12281,944,13225,,,
0101500000,66687,378,67065,,,
0101700000,20895,848,21743,,,
0101900000,14553,269,14822,,,
0102100000,25870,471,26341,,,
0102300000,9395,1356,10751,,,
0102500000,18447,413,18860,,,
0102700000,8498,1230,9728,,,
0102900000,8884,909,9793,,,
0103100000,28824,527,29351,,,
0103300000,33943,435,34378,,,
0103500000,9887,255,10142,,,
0103700000,7512,335,7847,,,
0103900000,22158,97,22255,,,
0104100000,9474,107,9581,,,
0104300000,48160,2036,50196,,,
0104500000,27693,351,28044,,,
0104700000,29295,1810,31105,,,
0104900000,33946,2712,36658,,,
0105100000,46357,749,47106,,,
0105300000,21112,732,21844,,,
0105500000,59366,2460,61826,,,
0105700000,11301,150,11451,,,
0105900000,16902,239,17141,,,
0106100000,16000,218,16218,,,
0106300000,7298,69,7367,,,
0106500000,11940,157,12097,,,
0106700000,11842,88,11930,,,
0106900000,57832,2710,60542,,,
0107100000,34462,247,34709,,,
0107300000,407796,3292,411088,,,
0107500000,10367,152,10519,,,
0107700000,53328,234,53562,,,
0107900000,21854,234,22088,,,
0108100000,85765,657,86422,,,
0108300000,47742,2017,49759,,,
0108500000,9661,637,10298,,,
0108700000,17354,338,17692,,,
0108900000,206561,24884,231445,,,
0109100000,15339,801,16140,,,
0109300000,18304,386,18690,,,
0109500000,48523,496,49019,,,
0109700000,255328,2558,257886,,,
0109900000,15304,198,15502,,,
0110100000,139508,1581,141089,,,
0110300000,65721,2088,67809,,,
0110500000,8044,549,8593,,,
0110700000,12907,398,13305,,,
0110900000,19500,1691,21191,,,
0111100000,15197,271,15468,,,
0111300000,29460,1577,31037,,,
0111500000,50897,827,51724,,,
0111700000,115412,7204,122616,,,
0111900000,8534,1510,10044,,,
0112100000,43502,4795,48297,,,
0112300000,26171,1860,28031,,,
0112500000,107224,8526,115750,,,
0112700000,42178,405,42583,,,
0112900000,11475,1900,13375,,,
0113100000,8783,358,9141,,,
0113300000,13888,1906,15794,,,
0200000000,509011,65430,574441,,,
0400100000,46181,5353,51534,,,
0400300000,68612,10399,79011,,,
0400500000,70719,14794,85513,,,
0400700000,29472,4131,33603,,,
0400900000,17541,2919,20460,,,
0401100000,4382,428,4810,,,
0401200000,9061,2035,11096,,,
0401300000,1935729,328948,2264677,,,
0401500000,117535,19312,136847,,,
0401700000,56725,9367,66092,,,
0401900000,498657,87034,585691,,,
0402100000,158340,36992,195332,,,
0402300000,22669,3349,26018,,,
0402500000,123301,26003,149304,,,
0402700000,76977,15821,92798,,,
0500100000,8691,1534,10225,,,
0500300000,10234,1725,11959,,,
0500500000,24586,4031,28617,,,
0500700000,113221,16291,129512,,,
0500900000,19427,2835,22262,,,
0501100000,4704,691,5395,,,
0501300000,3212,322,3534,,,
0501500000,13219,1664,14883,,,
0501700000,5771,905,6676,,,
0501900000,10707,1958,12665,,,
0502100000,7054,1391,8445,,,
0502300000,15364,2432,17796,,,
0502500000,4362,548,4910,,,
0502700000,12700,1555,14255,,,
0502900000,9752,1375,11127,,,
0503100000,44840,9651,54491,,,
0503300000,27478,3021,30499,,,
0503500000,24845,4884,29729,,,
0503700000,9163,1462,10625,,,
0503900000,3786,951,4737,,,
0504100000,5954,1755,7709,,,
0504300000,9010,1483,10493,,,
0504500000,57515,11751,69266,,,
0504700000,8561,1435,9996,,,
0504900000,6134,1124,7258,,,
0505100000,54512,9948,64460,,,
0505300000,9742,294,10036,,,
0505500000,17242,2931,20173,,,
0505700000,9334,2018,11352,,,
0505900000,15526,3609,19135,,,
