FIPSCode,QB1a
0100100000,89
0100300000,149
0100500000,19
0100700000,0
0100900000,14
0101100000,5
0101300000,39
0101500000,48
0101700000,1
0101900000,7
0102100000,23
0102300000,0
0102500000,28
0102700000,7
0102900000,3
0103100000,60
0103300000,20
0103500000,7
0103700000,0
0103900000,3
0104100000,1
0104300000,21
0104500000,58
0104700000,2
0104900000,7
0105100000,30
0105300000,28
0105500000,36
0105700000,4
0105900000,10
0106100000,1
0106300000,1
0106500000,1
0106700000,10
0106900000,40
0107100000,10
0107300000,337
0107500000,3
0107700000,40
0107900000,6
0108100000,100
0108300000,16
0108500000,7
0108700000,0
0108900000,299
0109100000,15
0109300000,9
0109500000,13
0109700000,233
0109900000,8
0110100000,219
0110300000,44
0110500000,7
0110700000,14
0110900000,24
0111100000,14
0111300000,69
0111500000,21
0111700000,65
0111900000,1
0112100000,48
0112300000,1
0112500000,101
0112700000,18
0112900000,18
0113100000,9
0113300000,17
0200000000,4064
0400100000,42
0400300000,167
0400500000,366
0400700000,54
0400900000,24
0401100000,18
0401200000,7
0401300000,1763
0401500000,240
0401700000,81
0401900000,869
0402100000,228
0402300000,35
0402500000,377
0402700000,138
0500100000,1
0500300000,4
0500500000,4
0500700000,62
0500900000,0
0501100000,5
0501300000,3
0501500000,2
0501700000,2
0501900000,4
0502100000,1
0502300000,8
0502500000,2
0502700000,3
0502900000,5
0503100000,7
0503300000,13
0503500000,1
0503700000,3
0503900000,1
0504100000,1
0504300000,0
0504500000,22
0504700000,3
0504900000,0
0505100000,-999999
0505300000,1
0505500000,5
0505700000,1
0505900000,6
0506100000,3
0506300000,6
0506500000,1
0506700000,0
0506900000,6
0507100000,0
0507300000,2
0507500000,3
0507700000,-999999
0507900000,0
0508100000,2
0508300000,1
0508500000,6
0508700000,2
0508900000,1
0509100000,10
0509300000,0
0509500000,0
0509700000,0
0509900000,0
0510100000,2
0510300000,2
0510500000,0
0510700000,1
0510900000,0
0511100000,1
0511300000,3
0511500000,15
0511700000,3
0511900000,182
0512100000,5
0512300000,0
0512500000,19
0512700000,6
0512900000,1
0513100000,20
0513300000,0
0513500000,7
0513700000,2
0513900000,6
0514100000,5
0514300000,56
0514500000,11
0514700000,0
0514900000,2
0600100000,5889
0600300000,0
0600500000,51
0600700000,483
0600900000,83
0601100000,30
0601300000,3238
0601500000,33
0601700000,422
0601900000,806
0602100000,38
0602300000,370
0602500000,128
0602700000,42
0602900000,1036
0603100000,131
0603300000,221
0603500000,58
0603700000,26923
0603900000,133
0604100000,1807
0604300000,50
0604500000,200
0604700000,104
0604900000,19
0605100000,23
0605300000,1352
0605500000,356
0605700000,334
0605900000,5844
0606100000,728
0606300000,57
0606500000,3660
0606700000,2207
0606900000,67
0607100000,3466
0607300000,6862
0607500000,5274
0607700000,1011
0607900000,658
0608100000,2935
0608300000,1231
0608500000,5199
0608700000,1028
0608900000,340
0609100000,10
0609300000,81
0609500000,911
0609700000,975
0609900000,435
0610100000,129
0610300000,73
0610500000,17
0610700000,265
0610900000,60
0611100000,1605
0611300000,701
0611500000,182
0800100000,632
0800300000,50
0800500000,2257
0800700000,37
0800900000,4
0801100000,10
0801300000,2332
0801400000,153
0801500000,80
0801700000,21
0801900000,39
0802100000,10
0802300000,3
0802500000,9
0802700000,32
0802900000,87
0803100000,2245
0803300000,9
0803500000,909
0803700000,252
0803900000,69
0804100000,3586
0804300000,97
0804500000,136
0804700000,41
0804900000,61
0805100000,144
0805300000,0
0805500000,6
0805700000,8
0805900000,1850
0806100000,1
0806300000,9
0806500000,12
0806700000,273
0806900000,1425
0807100000,21
0807300000,7
0807500000,31
0807700000,322
0807900000,0
0808100000,26
0808300000,54
0808500000,115
0808700000,43
0808900000,37
0809100000,65
0809300000,88
0809500000,12
0809700000,208
0809900000,22
0810100000,278
0810300000,15
0810500000,30
0810700000,124
0810900000,17
0811100000,3
0811300000,49
0811500000,0
0811700000,177
0811900000,134
0812100000,5
0812300000,451
0812500000,21
0900104720,3
0900108070,73
0900108980,1
0900118500,10
0900118850,14
0900123890,0
0900126620,14
0900133620,57
0900148620,2
0900150580,18
0900150860,5
0900152980,3
0900156060,12
0900163480,4
0900163970,17
0900168170,14
0900168310,11
0900173070,0
0900174190,7
0900177200,0
0900183430,37
0900183500,12
0900186370,1
0900302060,1
0900304300,20
0900305910,2
0900308490,2
0900310100,1
0900312270,0
0900322070,0
0900322630,0
0900324800,0
0900325990,3
0900327600,2
0900331240,5
0900332640,1
0900337070,3
