County,Municipality,"Optical/Digital Scan Tabulator (Vendor/Dealer-Model)_x000D_
*Note:  If this municipality uses multiple types of tabulator equipment, please contact the G.A.B. Help Desk at 608-261-2028 or GABHelpDesk@wi.gov.",Accessible Voting Equipment Vendor/Dealer-Model
ADAMS - 01,CITY OF ADAMS - 01201,Optech/Command Central- Eagle,ES&S Automark
ADAMS - 01,TOWN OF ADAMS - 01002,None ,Vote Pad-Vote Pad (non-electronic)
ADAMS - 01,TOWN OF BIG FLATS - 01004,Dominion (Sequoia)- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
ADAMS - 01,TOWN OF COLBURN - 01006,None ,Dominion (Sequoia)/Command Central-Edge
ADAMS - 01,TOWN OF DELL PRAIRIE - 01008,None ,Vote Pad-Vote Pad (non-electronic)
ADAMS - 01,TOWN OF EASTON - 01010,Dominion (Sequoia)- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
ADAMS - 01,TOWN OF JACKSON - 01012,None ,Vote Pad-Vote Pad (non-electronic)
ADAMS - 01,TOWN OF LEOLA - 01014,None ,Vote Pad-Vote Pad (non-electronic)
ADAMS - 01,TOWN OF LINCOLN - 01016,Dominion (Sequoia)- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
ADAMS - 01,TOWN OF MONROE - 01018,Dominion (Sequoia)- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
ADAMS - 01,TOWN OF NEW CHESTER - 01020,None ,Dominion (Sequoia)/Command Central-Edge
ADAMS - 01,TOWN OF NEW HAVEN - 01022,Dominion (Sequoia)- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
ADAMS - 01,TOWN OF PRESTON - 01024,None ,Vote Pad-Vote Pad (non-electronic)
ADAMS - 01,TOWN OF QUINCY - 01026,None ,Vote Pad-Vote Pad (non-electronic)
ADAMS - 01,TOWN OF RICHFIELD - 01028,None ,Vote Pad-Vote Pad (non-electronic)
ADAMS - 01,TOWN OF ROME - 01030,Optech- Eagle,ES&S Automark
ADAMS - 01,TOWN OF SPRINGVILLE - 01032,None ,Vote Pad-Vote Pad (non-electronic)
ADAMS - 01,TOWN OF STRONGS PRAIRIE - 01034,None ,Dominion (Sequoia)/Command Central-Edge
ADAMS - 01,VILLAGE OF FRIENDSHIP - 01126,None ,Vote Pad-Vote Pad (non-electronic)
ASHLAND - 02,CITY OF ASHLAND - MAIN - 02201,ES&S M100,ES&S Automark
ASHLAND - 02,CITY OF MELLEN - 02251,None ,ES&S Automark
ASHLAND - 02,TOWN OF AGENDA - 02002,None ,ES&S Automark
ASHLAND - 02,TOWN OF ASHLAND - 02004,None ,ES&S Automark
ASHLAND - 02,TOWN OF CHIPPEWA - 02006,None ,ES&S Automark
ASHLAND - 02,TOWN OF GINGLES - 02008,None ,ES&S Automark
ASHLAND - 02,TOWN OF GORDON - 02010,None ,ES&S Automark
ASHLAND - 02,TOWN OF JACOBS - 02012,None ,ES&S Automark
ASHLAND - 02,TOWN OF LA POINTE - 02014,None ,ES&S Automark
ASHLAND - 02,TOWN OF MARENGO - 02016,None ,ES&S Automark
ASHLAND - 02,TOWN OF MORSE - 02018,None ,ES&S Automark
ASHLAND - 02,TOWN OF PEEKSVILLE - 02020,None ,ES&S Automark
ASHLAND - 02,TOWN OF SANBORN - 02022,None ,ES&S Automark
ASHLAND - 02,TOWN OF SHANAGOLDEN - 02024,None ,ES&S Automark
ASHLAND - 02,TOWN OF WHITE RIVER - 02026,None ,ES&S Automark
ASHLAND - 02,VILLAGE OF BUTTERNUT - 02106,None ,ES&S Automark
BARRON - 03,CITY OF BARRON - 03206,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,CITY OF CHETEK - 03211,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,CITY OF CUMBERLAND - 03212,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
BARRON - 03,CITY OF RICE LAKE - 03276,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge
