pp_acc,fips_code,pp_std_cc,county,jurisdiction_type,coder,pp_acc_cc,make,vbm_acc,pp_acc_pc,source,state,other,pp_std_pc,ev_acc,abs_ballots,division,equip_type,date_obtained,population,all_vbm,ev_std,pp_std,prov_ballots,model
,0100100000,,Autauga County,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015","55,347",,,TRUE,TRUE,DS200
TRUE,0100100000,,Autauga County,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015","55,347",,,,,AutoMARK
,0100300000,,Baldwin County,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015","203,709",,,TRUE,TRUE,DS200
TRUE,0100300000,,Baldwin County,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015","203,709",,,,,AutoMARK
,0100500000,,Barbour County,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015","26,489",,,TRUE,TRUE,DS200
TRUE,0100500000,,Barbour County,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015","26,489",,,,,AutoMARK
,0100700000,,Bibb County,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015","22,583",,,TRUE,TRUE,Model 100
TRUE,0100700000,,Bibb County,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015","22,583",,,,,AutoMARK
,0100900000,,Blount County,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015","57,673",,,TRUE,TRUE,DS200
TRUE,0100900000,,Blount County,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015","57,673",,,,,AutoMARK
,0101100000,,Bullock County,County,Warren Stewart,,Election Systems & Software,,,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,TRUE,,TRUE,,Optical Scan,"June 30, 2015","10,696",,,TRUE,TRUE,DS200
TRUE,0101100000,,Bullock County,County,Warren Stewart,,Election Systems & Software,,TRUE,http://www.eac.gov/research/election_administration_and_voting_survey.aspx,AL,,,,,,Ballot Marking Device or System,"June 30, 2015","10,696",,,,,AutoMARK
